epoch,train_loss,val_loss,val_mae
1,0.54761,0.48761,0.40951
2,0.48209,0.41962,0.33710
3,0.42262,0.36375,0.27080
4,0.37076,0.32021,0.21561
5,0.32824,0.28704,0.17208
6,0.29880,0.26242,0.13879
7,0.27670,0.24378,0.11333
8,0.25554,0.22898,0.09450
9,0.24244,0.21759,0.08022
10,0.22792,0.20793,0.06963
11,0.22057,0.20011,0.06355
12,0.20856,0.19347,0.06012
13,0.20397,0.18742,0.05513
14,0.19423,0.18470,0.05064
15,0.18954,0.17950,0.04636
16,0.18129,0.17808,0.04392
17,0.17624,0.17707,0.04079
18,0.17515,0.17496,0.03767
19,0.16886,0.17443,0.03312
20,0.16412,0.17116,0.03038
21,0.16124,0.17081,0.02931
22,0.15996,0.17329,0.02708
23,0.15307,0.16560,0.02596
24,0.15055,0.16825,0.02644
25,0.14615,0.16468,0.02364
26,0.14439,0.16340,0.02532
27,0.13461,0.15894,0.02270
28,0.12859,0.15187,0.02021
29,0.12461,0.14788,0.01922
30,0.11793,0.13823,0.02354
31,0.10886,0.14133,0.01817
32,0.10201,0.13584,0.02004
33,0.09378,0.12794,0.01870
34,0.08542,0.12244,0.01815
35,0.08210,0.12060,0.01551
36,0.07307,0.11837,0.01571
37,0.06964,0.12251,0.01748
38,0.06995,0.12037,0.01502
39,0.06077,0.11672,0.01485
40,0.05845,0.12355,0.01536
41,0.05527,0.12949,0.01649
42,0.05070,0.12647,0.01474
43,0.04683,0.12202,0.01349
44,0.04602,0.12593,0.01410
45,0.04254,0.13006,0.01531
46,0.04068,0.12555,0.01429
47,0.03889,0.13076,0.01365
48,0.03788,0.12884,0.01409
49,0.03921,0.13134,0.01386
50,0.03596,0.13352,0.01446
51,0.03312,0.12934,0.01296
52,0.03074,0.14027,0.01340
53,0.03079,0.13720,0.01486
54,0.02875,0.14225,0.01337
55,0.02590,0.14023,0.01315
56,0.02544,0.14600,0.01411
57,0.02406,0.13664,0.01245
58,0.02258,0.13611,0.01352
59,0.02186,0.13974,0.01254
60,0.02249,0.14874,0.01440
61,0.02191,0.13935,0.01201
62,0.02102,0.14807,0.01247
63,0.02185,0.14076,0.01261
64,0.02014,0.15072,0.01282
65,0.02109,0.14490,0.01199
66,0.01964,0.14150,0.01228
67,0.01842,0.14110,0.01255
68,0.01788,0.14350,0.01278
69,0.01821,0.14166,0.01235
70,0.01846,0.13813,0.01223
71,0.01720,0.14304,0.01249
72,0.01938,0.14832,0.01243
73,0.02239,0.14277,0.01199
74,0.02372,0.14596,0.01278
75,0.02337,0.13830,0.01152
76,0.02041,0.14310,0.01188
77,0.01679,0.13856,0.01185
78,0.01651,0.14742,0.01224
79,0.01577,0.14508,0.01203
80,0.01503,0.14188,0.01172
81,0.01558,0.13827,0.01173
82,0.01578,0.14435,0.01155
83,0.01550,0.13085,0.01174
84,0.01580,0.14574,0.01247
85,0.01677,0.13872,0.01255
86,0.01634,0.13359,0.01176
87,0.01474,0.14358,0.01182
88,0.01500,0.13691,0.01177
89,0.01713,0.13713,0.01182
