epoch,train_loss,val_loss,val_mae
1,0.59677,0.55018,0.45432
2,0.56768,0.51778,0.42279
3,0.53999,0.48886,0.39270
4,0.51412,0.46114,0.36271
5,0.48743,0.43288,0.33063
6,0.45968,0.40545,0.29779
7,0.43179,0.37898,0.26417
8,0.40432,0.35383,0.23057
9,0.37916,0.33155,0.19833
10,0.35105,0.31231,0.16843
11,0.32400,0.29574,0.14146
12,0.30422,0.28205,0.11808
13,0.28251,0.27139,0.09862
14,0.26232,0.26372,0.08297
15,0.24735,0.25792,0.07047
16,0.23367,0.25367,0.06152
17,0.21996,0.25112,0.05556
18,0.20816,0.24993,0.04988
19,0.19521,0.24750,0.04731
20,0.18161,0.24594,0.04560
21,0.17198,0.24356,0.04449
22,0.15864,0.24531,0.04486
23,0.14747,0.24570,0.03330
24,0.13639,0.24531,0.03073
25,0.12462,0.24645,0.02914
26,0.11367,0.24642,0.02629
27,0.10781,0.24453,0.02618
28,0.09857,0.24410,0.02232
29,0.08807,0.24274,0.02210
30,0.08033,0.24531,0.02074
31,0.07375,0.23907,0.02050
32,0.06683,0.24050,0.01904
33,0.06187,0.24187,0.01962
34,0.05888,0.23962,0.02196
35,0.05772,0.24212,0.01950
36,0.05410,0.24910,0.02309
37,0.05453,0.24306,0.01725
38,0.04856,0.24358,0.01864
39,0.04332,0.24581,0.01778
40,0.04052,0.24982,0.01817
41,0.03856,0.25062,0.01816
42,0.03836,0.24897,0.01942
43,0.03763,0.25468,0.01891
44,0.03565,0.25014,0.01896
45,0.03453,0.25403,0.01909
46,0.03140,0.24667,0.01731
47,0.02879,0.24727,0.01949
48,0.03017,0.25319,0.02039
49,0.02874,0.25890,0.01757
50,0.02765,0.25151,0.01799
51,0.02469,0.25512,0.01756
52,0.02358,0.25291,0.01747
53,0.02308,0.25355,0.01791
54,0.02176,0.25258,0.01676
55,0.02327,0.25373,0.01860
56,0.02196,0.25329,0.01760
57,0.01982,0.25658,0.01762
58,0.01997,0.25507,0.01766
59,0.01897,0.24881,0.01675
60,0.01806,0.25833,0.01691
61,0.01808,0.25230,0.01731
62,0.01701,0.25022,0.01675
63,0.01694,0.25227,0.01725
64,0.01757,0.25594,0.01664
65,0.01714,0.25033,0.01731
66,0.01589,0.25135,0.01730
67,0.01642,0.25270,0.01644
68,0.01605,0.25248,0.01710
69,0.01594,0.25348,0.01731
70,0.01531,0.25296,0.01711
71,0.01494,0.24986,0.01690
72,0.01468,0.24897,0.01680
73,0.01405,0.25313,0.01723
74,0.01375,0.25169,0.01658
75,0.01375,0.25561,0.01715
76,0.01381,0.25105,0.01710
77,0.01380,0.25295,0.01668
78,0.01317,0.25329,0.01773
79,0.01293,0.25519,0.01713
80,0.01304,0.25196,0.01709
81,0.01356,0.25195,0.01669
82,0.01335,0.25606,0.01727
83,0.01232,0.25257,0.01714
84,0.01421,0.25235,0.01703
85,0.01306,0.25943,0.01744
86,0.01689,0.25886,0.01751
87,0.01369,0.25447,0.01734
88,0.01178,0.25566,0.01680
89,0.01157,0.25345,0.01700
90,0.01173,0.25475,0.01732
91,0.01146,0.25459,0.01674
92,0.01129,0.25264,0.01718
93,0.01136,0.25157,0.01670
94,0.01133,0.25700,0.01681
95,0.01196,0.25550,0.01729
96,0.01078,0.25288,0.01715
97,0.01066,0.25357,0.01698
98,0.01031,0.25488,0.01724
99,0.01041,0.25240,0.01643
100,0.01085,0.25251,0.01640
101,0.01026,0.25361,0.01673
102,0.01057,0.25349,0.01652
103,0.01023,0.25319,0.01675
104,0.01007,0.25155,0.01674
105,0.00945,0.25219,0.01692
106,0.00969,0.25020,0.01676
107,0.00934,0.25081,0.01666
108,0.00914,0.25340,0.01624
109,0.00925,0.25103,0.01652
110,0.00909,0.25186,0.01653
111,0.00927,0.25003,0.01642
