name,pearson_r,rmse
Ag_Gr_NS,0.8363602701475796,0.037204280495643616
B_Gr_NS,0.9271580534952434,0.028905196115374565
CH4,0.9058746775917286,0.034407999366521835
CO,0.06912280912083274,0.07460702210664749
CO2,0.9135823801839628,0.02455766685307026
Co_Gr_NS,0.7944644933346511,0.043618906289339066
Co_Gr_NS_CO,0.8305395336247131,0.036138806492090225
Cr_Gr_NS,0.6539218084129914,0.08590035885572433
Cr_Gr_NS_CO,0.9031786458218775,0.039212390780448914
Fe_Gr_NS,0.4862323783549885,0.10419758409261703
Fe_Gr_NS_CO,0.9377061702787775,0.02584686502814293
H2O,0.911103593672843,0.02626127377152443
Mn_Gr_NS,0.5132836891743525,0.0991024523973465
Mn_Gr_NS_CO,0.9350222188484895,0.021766090765595436
MoS2_NS,0.6297027905597222,0.04150157421827316
MoS2_NS_CO,0.6205135136949831,0.048057109117507935
MoS2_NS_NH3,0.6757476679983099,0.06138240173459053
MoS2_NS_NO,-0.0034088116470082992,0.08077555149793625
MoS2_NS_NO2,0.4415469055310399,0.06915172934532166
MoS2_NS_SO2,0.02497453132931956,0.07751544564962387
MoSe2_NS,0.9337263006822527,0.0231846384704113
N_Gr_NS,0.8942626924446071,0.03428318724036217
NH3,0.8893894828420621,0.03419019281864166
NO,0.6558064291370815,0.06262627989053726
NO2,0.7188498671874801,0.055137354880571365
Pd_Gr_NS,0.6246171304401246,0.07058342546224594
Pd_Gr_NS_CO,0.6306408943100981,0.08332319557666779
Pt_Gr_NS,0.9494233902685034,0.02490321360528469
Pt_MoS2_NS,0.6561660651619221,0.03877459093928337
Pt_MoS2_NS_CO,0.6210795454200708,0.045071035623550415
Pt_MoS2_NS_NH3,0.5259263229775227,0.0686744675040245
Pt_MoS2_NS_NO,0.5075358904599913,0.056296736001968384
Pt_MoS2_NS_NO2,0.21302351939875008,0.06213543936610222
Pt_MoS2_NS_SO2,0.36096562793681647,0.062378667294979095
Pt_ZnO_NT,0.5391156600603272,0.05873902514576912
Pt_ZnO_NT_CO,0.4873447475060723,0.05320756509900093
Pt_ZnO_NT_NH3,0.6262148153864052,0.04548631235957146
Rh_Gr_NS,0.9390722572759864,0.024518156424164772
Rh_Gr_NS_CO,0.9650718351941303,0.016132991760969162
Rh_MoS2_NS,0.7716995272971913,0.04544943571090698
Rh_MoS2_NS_CO,0.4130184032715311,0.0480949804186821
Rh_MoS2_NS_NH3,0.12564521723008878,0.08068995177745819
Rh_MoS2_NS_NO,0.2978223311324008,0.08201798796653748
Rh_MoS2_NS_NO2,0.009733523129615356,0.07656785100698471
SO2,0.9081812789722693,0.027968917042016983
TMA,0.7529506107944314,0.05820608511567116
V_Gr_NS,0.9516734343052571,0.021256472915410995
ZnO_NT,0.4038586097669629,0.04968643933534622
ZnO_NT_CO,0.6887836774574336,0.03970756381750107
ZnO_NT_NH3,0.36475352605067207,0.10811063647270203
